,experimentId,number of concurrent batches,scheduling duration in seconds,processing duration in seconds,transfer method,states
34,5e43030698852ac63e643e19,10,1.6402733325958252,131.9623782634735,sftp,succeeded
35,5e43030698852ac63e643e19,10,1.6978216171264648,125.20815014839172,sftp,succeeded
36,5e43030698852ac63e643e19,10,1.6937370300292969,123.98413920402527,sftp,succeeded
37,5e43030698852ac63e643e19,10,1.6873345375061035,127.55849075317383,sftp,succeeded
38,5e43030698852ac63e643e19,10,1.6903510093688965,130.03626894950867,sftp,succeeded
39,5e43030698852ac63e643e19,10,1.6849875450134277,147.1614499092102,sftp,succeeded
40,5e43030698852ac63e643e19,10,1.6714611053466797,108.7887282371521,sftp,succeeded
41,5e43030698852ac63e643e19,10,1.6899633407592773,121.54953789710999,sftp,succeeded
42,5e43030698852ac63e643e19,10,1.6819446086883545,122.40128874778748,sftp,succeeded
43,5e43030698852ac63e643e19,10,1.6302433013916016,118.34836196899414,sftp,succeeded
44,5e43030698852ac63e643e19,10,1.7138400077819824,119.19854211807251,sftp,succeeded
45,5e43030698852ac63e643e19,10,1.6313257217407227,126.83914089202881,sftp,succeeded
46,5e43030698852ac63e643e19,10,1.6232659816741943,121.7531943321228,sftp,succeeded
47,5e43030698852ac63e643e19,10,1.5653266906738281,132.03279662132263,sftp,succeeded
48,5e43030698852ac63e643e19,10,1.6575045585632324,130.12672567367554,sftp,succeeded
49,5e43030698852ac63e643e19,10,1.6586835384368896,117.27039957046509,sftp,succeeded
50,5e43030698852ac63e643e19,10,1.6334526538848877,153.2298707962036,sftp,succeeded
51,5e43030698852ac63e643e19,10,1.6879441738128662,129.86400055885315,sftp,succeeded
52,5e43030698852ac63e643e19,10,1.7141892910003662,112.89926600456238,sftp,succeeded
53,5e43030698852ac63e643e19,10,1.5938048362731934,119.76593685150146,sftp,succeeded
54,5e43030698852ac63e643e19,10,1.624556303024292,119.79058980941772,sftp,succeeded
55,5e43030698852ac63e643e19,10,1.5762951374053955,119.54916048049927,sftp,succeeded
56,5e43030698852ac63e643e19,10,1.5994465351104736,123.82270503044128,sftp,succeeded
57,5e43030698852ac63e643e19,10,1.6086750030517578,124.42820620536804,sftp,succeeded
58,5e43030698852ac63e643e19,10,1.6573853492736816,131.13961458206177,sftp,succeeded
59,5e43030698852ac63e643e19,10,1.555527925491333,112.33616089820862,sftp,succeeded
60,5e43030698852ac63e643e19,10,1.6327500343322754,121.67546343803406,sftp,succeeded
61,5e43030698852ac63e643e19,10,1.6298222541809082,124.76073265075684,sftp,succeeded
62,5e43030698852ac63e643e19,10,1.5930042266845703,119.50715374946594,sftp,succeeded
63,5e43030698852ac63e643e19,10,1.5792059898376465,155.1039855480194,sftp,succeeded
64,5e43030698852ac63e643e19,10,1.5751605033874512,124.1111330986023,sftp,succeeded
65,5e43030698852ac63e643e19,10,1.4953289031982422,124.02039670944214,sftp,succeeded
66,5e43030698852ac63e643e19,10,1.5653250217437744,116.719247341156,sftp,succeeded
67,5e43030698852ac63e643e19,10,1.5429906845092773,121.58016037940979,sftp,succeeded
68,5e43030698852ac63e643e19,10,1.5122382640838623,114.73362112045288,sftp,succeeded
69,5e43030698852ac63e643e19,10,1.5538160800933838,128.67773413658142,sftp,succeeded
70,5e43030698852ac63e643e19,10,1.5988764762878418,122.13909888267517,sftp,succeeded
71,5e43030698852ac63e643e19,10,1.4955837726593018,122.76642394065857,sftp,succeeded
72,5e43030698852ac63e643e19,10,1.539276123046875,122.64443898200989,sftp,succeeded
73,5e43030698852ac63e643e19,10,1.6823196411132812,116.18155550956726,sftp,succeeded
74,5e43030698852ac63e643e19,10,1.493833065032959,119.60691356658936,sftp,succeeded
75,5e43030698852ac63e643e19,10,1.507242202758789,118.51196885108948,sftp,succeeded
76,5e43030698852ac63e643e19,10,1.5818183422088623,161.55355548858643,sftp,succeeded
77,5e43030698852ac63e643e19,10,1.501734972000122,136.29072737693787,sftp,succeeded
78,5e43030698852ac63e643e19,10,1.4712774753570557,127.45982313156128,sftp,succeeded
79,5e43030698852ac63e643e19,10,1.451409101486206,150.28546023368835,sftp,succeeded
80,5e43030698852ac63e643e19,10,1.5183405876159668,115.2956793308258,sftp,succeeded
81,5e43030698852ac63e643e19,10,1.385664463043213,121.21677327156067,sftp,succeeded
82,5e43030698852ac63e643e19,10,1.5102121829986572,124.11251425743103,sftp,succeeded
83,5e43030698852ac63e643e19,10,1.415970802307129,115.56428098678589,sftp,succeeded
84,5e43030698852ac63e643e19,10,1.4897124767303467,125.87174987792969,sftp,succeeded
85,5e43030698852ac63e643e19,10,1.5103580951690674,113.73205375671387,sftp,succeeded
86,5e43030698852ac63e643e19,10,1.4553539752960205,115.59025144577026,sftp,succeeded
87,5e43030698852ac63e643e19,10,1.4847326278686523,119.43828701972961,sftp,succeeded
88,5e43030698852ac63e643e19,10,1.513214349746704,126.67165970802307,sftp,succeeded
89,5e43030698852ac63e643e19,10,1.3975591659545898,109.60446858406067,sftp,succeeded
90,5e43030698852ac63e643e19,10,1.471679925918579,141.8851761817932,sftp,succeeded
91,5e43030698852ac63e643e19,10,1.4325177669525146,122.82836604118347,sftp,succeeded
92,5e43030698852ac63e643e19,10,1.5447089672088623,125.49196696281433,sftp,succeeded
93,5e43030698852ac63e643e19,10,1.381805419921875,123.68725872039795,sftp,succeeded
94,5e43030698852ac63e643e19,10,1.4213676452636719,120.63932180404663,sftp,succeeded
95,5e43030698852ac63e643e19,10,1.3964128494262695,118.97672367095947,sftp,succeeded
96,5e43030698852ac63e643e19,10,1.3546347618103027,114.44287633895874,sftp,succeeded
97,5e43030698852ac63e643e19,10,1.3775253295898438,131.91733145713806,sftp,succeeded
98,5e43030698852ac63e643e19,10,1.3939025402069092,122.54285049438477,sftp,succeeded
99,5e43030698852ac63e643e19,10,1.3272583484649658,119.64911270141602,sftp,succeeded
100,5e43082ff78677ad4adecb45,15,2.004188299179077,140.66660714149475,sftp,succeeded
101,5e43082ff78677ad4adecb45,15,1.9498887062072754,149.79140734672546,sftp,succeeded
102,5e43082ff78677ad4adecb45,15,1.9846503734588623,162.04996919631958,sftp,succeeded
103,5e43082ff78677ad4adecb45,15,1.9658150672912598,131.1923532485962,sftp,succeeded
104,5e43082ff78677ad4adecb45,15,1.8889200687408447,134.32336902618408,sftp,succeeded
105,5e43082ff78677ad4adecb45,15,1.816152811050415,119.54597806930542,sftp,succeeded
106,5e43082ff78677ad4adecb45,15,1.7853620052337646,123.0431318283081,sftp,succeeded
107,5e43082ff78677ad4adecb45,15,1.8607299327850342,145.4033203125,sftp,succeeded
108,5e43082ff78677ad4adecb45,15,1.8065006732940674,119.22196555137634,sftp,succeeded
109,5e43082ff78677ad4adecb45,15,1.8076035976409912,137.04010438919067,sftp,succeeded
110,5e43082ff78677ad4adecb45,15,1.8317954540252686,141.10184979438782,sftp,succeeded
111,5e43082ff78677ad4adecb45,15,1.82450532913208,141.14373302459717,sftp,succeeded
112,5e43082ff78677ad4adecb45,15,1.8974685668945312,162.2485990524292,sftp,succeeded
113,5e43082ff78677ad4adecb45,15,1.8876724243164062,132.71889686584473,sftp,succeeded
114,5e43082ff78677ad4adecb45,15,1.8026752471923828,121.3265335559845,sftp,succeeded
115,5e43082ff78677ad4adecb45,15,1.9825878143310547,126.15926384925842,sftp,succeeded
116,5e43082ff78677ad4adecb45,15,1.7584409713745117,117.32830142974854,sftp,succeeded
117,5e43082ff78677ad4adecb45,15,1.8220362663269043,132.12201762199402,sftp,succeeded
118,5e43082ff78677ad4adecb45,15,1.6758811473846436,137.28781008720398,sftp,succeeded
119,5e43082ff78677ad4adecb45,15,1.7663540840148926,155.12673425674438,sftp,succeeded
120,5e43082ff78677ad4adecb45,15,2.281820058822632,154.82486152648926,sftp,succeeded
121,5e43082ff78677ad4adecb45,15,1.7318251132965088,117.66469717025757,sftp,succeeded
122,5e43082ff78677ad4adecb45,15,1.7657933235168457,111.21346187591553,sftp,succeeded
123,5e43082ff78677ad4adecb45,15,1.767298698425293,124.24313426017761,sftp,succeeded
124,5e43082ff78677ad4adecb45,15,3.3803188800811768,127.11773753166199,sftp,succeeded
125,5e43082ff78677ad4adecb45,15,1.651538372039795,151.91519713401794,sftp,succeeded
126,5e43082ff78677ad4adecb45,15,2.021023750305176,145.99294090270996,sftp,succeeded
127,5e43082ff78677ad4adecb45,15,1.7460787296295166,143.540593624115,sftp,succeeded
128,5e43082ff78677ad4adecb45,15,1.7005712985992432,136.41736793518066,sftp,succeeded
129,5e43082ff78677ad4adecb45,15,1.6780009269714355,141.43027329444885,sftp,succeeded
130,5e43082ff78677ad4adecb45,15,1.7331414222717285,114.3921868801117,sftp,succeeded
131,5e43082ff78677ad4adecb45,15,1.744349718093872,119.56966185569763,sftp,succeeded
132,5e43082ff78677ad4adecb45,15,1.662513256072998,122.76785588264465,sftp,succeeded
133,5e43082ff78677ad4adecb45,15,1.7506582736968994,131.10054445266724,sftp,succeeded
134,5e43082ff78677ad4adecb45,15,2.2990105152130127,124.37174201011658,sftp,succeeded
135,5e43082ff78677ad4adecb45,15,1.7139182090759277,126.43103528022766,sftp,succeeded
136,5e43082ff78677ad4adecb45,15,1.7230370044708252,139.22061705589294,sftp,succeeded
137,5e43082ff78677ad4adecb45,15,1.6817352771759033,139.58867168426514,sftp,succeeded
138,5e43082ff78677ad4adecb45,15,1.6204447746276855,142.2922224998474,sftp,succeeded
139,5e43082ff78677ad4adecb45,15,2.286661386489868,133.69442343711853,sftp,succeeded
140,5e43082ff78677ad4adecb45,15,1.6244027614593506,134.59670495986938,sftp,succeeded
141,5e43082ff78677ad4adecb45,15,1.6354689598083496,145.1484613418579,sftp,succeeded
142,5e43082ff78677ad4adecb45,15,1.5840363502502441,145.35251545906067,sftp,succeeded
143,5e43082ff78677ad4adecb45,15,1.6795189380645752,149.80614042282104,sftp,succeeded
144,5e43082ff78677ad4adecb45,15,1.6181514263153076,142.97082018852234,sftp,succeeded
145,5e43082ff78677ad4adecb45,15,1.6807739734649658,117.1811945438385,sftp,succeeded
146,5e43082ff78677ad4adecb45,15,1.61653733253479,119.53549551963806,sftp,succeeded
147,5e43082ff78677ad4adecb45,15,1.593857765197754,128.74948477745056,sftp,succeeded
148,5e43082ff78677ad4adecb45,15,1.5866141319274902,132.81771802902222,sftp,succeeded
149,5e43082ff78677ad4adecb45,15,1.6948907375335693,127.54887986183167,sftp,succeeded
150,5e43082ff78677ad4adecb45,15,1.5811097621917725,137.91255044937134,sftp,succeeded
151,5e43082ff78677ad4adecb45,15,1.5738577842712402,139.27818274497986,sftp,succeeded
152,5e43082ff78677ad4adecb45,15,1.637699842453003,151.93449711799622,sftp,succeeded
